39.328,-76.608
39.325,-76.608
39.321,-76.608
39.318,-76.608
39.311,-76.608
39.305,-76.608
39.298,-76.608
39.321,-76.603
39.318,-76.603
39.315,-76.603
39.311,-76.603
39.308,-76.603
39.301,-76.603
39.298,-76.603
39.295,-76.603
39.321,-76.599
39.318,-76.599
39.315,-76.599
39.311,-76.599
39.308,-76.599
39.305,-76.599
39.298,-76.599
39.295,-76.599
39.292,-76.599
39.318,-76.595
39.315,-76.595
39.311,-76.595
39.308,-76.595
39.305,-76.595
39.301,-76.595
39.298,-76.595
39.295,-76.595
39.292,-76.595
39.315,-76.59
39.311,-76.59
39.308,-76.59
39.305,-76.59
39.318,-76.586
39.315,-76.586
39.311,-76.586
39.308,-76.586
39.305,-76.586
39.301,-76.586
39.315,-76.582
39.305,-76.582
39.301,-76.582
39.315,-76.577
39.311,-76.577
39.308,-76.577
39.315,-76.573
39.311,-76.573
39.308,-76.573
39.315,-76.569
39.315,-76.565
39.315,-76.56
39.318,-76.556
39.315,-76.556
39.318,-76.552
39.315,-76.552
